freq_hz,mag_db,phase_deg
3.051757812500000000e-02,-3.819343696571306168e+01,1.080321067318987360e+02
6.103515625000000000e-02,-3.146081468343741250e+01,2.182203065949794052e+01
9.155273437500000000e-02,-2.932610521382010305e+01,1.055461334316973563e+02
1.220703125000000000e-01,-2.952366557822038473e+01,6.579401419734598733e+01
1.525878906250000000e-01,-3.552881416579113250e+01,-2.551397840293596175e+01
1.831054687500000000e-01,-2.789307003794359474e+01,1.114416125854759656e+02
2.136230468750000000e-01,-3.156230501880556716e+01,1.543221459809853400e+02
2.441406250000000000e-01,-2.413821892427186455e+01,9.250745016239861229e+01
2.746582031250000000e-01,-1.350228551511092157e+01,9.752413290971068704e+01
3.051757812500000000e-01,-1.351184702028077389e+01,-1.039414982233387121e+02
3.356933593750000000e-01,-6.071960127168929411e+00,7.860140760653494318e+00
3.662109375000000000e-01,-5.544115270509672122e+00,2.239546569829619571e+01
3.967285156250000000e-01,-3.994087270381977639e+00,2.174804167790270171e+01
4.272460937500000000e-01,-3.681723045421209761e+00,2.033931139084944206e+01
4.577636718750000000e-01,-4.009427782246036465e+00,1.255643905760491918e+01
4.882812500000000000e-01,-3.903216160834579895e+00,6.608472886077460196e+00
5.187988281250000000e-01,-3.635502820534148416e+00,4.093449193078076753e+00
5.493164062500000000e-01,-2.839838194861710630e+00,3.056829390623687637e+00
5.798339843750000000e-01,-2.352969129643076140e+00,7.633099793263882493e-02
6.103515625000000000e-01,-1.946723213222526283e+00,-2.280009041260132818e+00
6.408691406250000000e-01,-1.503237617342771060e+00,-3.095456931510828458e+00
6.713867187500000000e-01,-1.118489480469948338e+00,-4.251810685150256397e+00
7.019042968750000000e-01,-6.072063899034778611e-01,-1.070371649029387662e+01
7.324218750000000000e-01,-6.373798709009826924e-01,-1.045014754867439244e+01
7.629394531250000000e-01,-1.687937888099554917e-01,-1.009747264939467826e+01
7.934570312500000000e-01,6.844835182590782718e-01,-1.526581714857868732e+01
8.239746093750000000e-01,1.111790777571156852e+00,-1.630811006018552334e+01
8.544921875000000000e-01,1.418021368009883876e+00,-1.399064871459065529e+01
8.850097656250000000e-01,1.664245883570887319e+00,-1.510979869350825133e+01
9.155273437500000000e-01,8.670506918002107710e-01,-1.411769310527893140e+01
9.460449218750000000e-01,6.509865712704193674e-01,-1.239846766406561684e+01
9.765625000000000000e-01,9.797780590616379515e-01,-1.543784865295161879e+01
1.007080078125000000e+00,8.988233669836233064e-01,-1.372222315883781540e+01
1.037597656250000000e+00,1.016882713724434506e+00,-1.421910466958358654e+01
1.068115234375000000e+00,3.951852363504612109e-01,-1.680797510044743959e+01
1.098632812500000000e+00,1.584908727533306028e+00,-1.838550479954665562e+01
1.129150390625000000e+00,1.890723468828262810e+00,-1.506752482893412548e+01
1.159667968750000000e+00,8.857390795334876277e-01,-1.569705536343348129e+01
1.190185546875000000e+00,7.714132063746568235e-01,-1.561029998908877303e+01
1.220703125000000000e+00,1.109770225613696537e+00,-1.706461472452906136e+01
1.251220703125000000e+00,1.560131425138241434e+00,-2.420096514043685687e+01
1.281738281250000000e+00,1.499548469361263514e+00,-2.349511636954385096e+01
1.312255859375000000e+00,1.522935065951586342e+00,-1.664666223508626430e+01
1.342773437500000000e+00,2.047181845812221734e+00,-1.876201767421845190e+01
1.373291015625000000e+00,2.172932387606828275e+00,-1.751990210794497926e+01
1.403808593750000000e+00,2.169642216842084359e+00,-1.473015258650748827e+01
1.434326171875000000e+00,2.207602961187448809e+00,-1.805402617695711598e+01
1.464843750000000000e+00,2.024754578307442099e+00,-2.138365057262687330e+01
1.495361328125000000e+00,1.604273134973351000e+00,-2.296635829983833688e+01
1.525878906250000000e+00,2.448589921028860861e+00,-2.278975600069159668e+01
1.556396484375000000e+00,3.027358715891147689e+00,-2.290826527383668321e+01
1.586914062500000000e+00,1.810564520135416799e+00,-1.579260469082533547e+01
1.617431640625000000e+00,2.138612123641912000e+00,-1.665427210277490033e+01
1.647949218750000000e+00,3.426524148812220005e+00,-9.864483596076446759e+00
1.678466796875000000e+00,3.673619230847797734e+00,-2.615484709429828314e+01
1.708984375000000000e+00,3.471643629062069358e+00,-3.341667739419546734e+01
1.739501953125000000e+00,3.557035402009704583e+00,-2.835746074873254940e+01
1.770019531250000000e+00,2.313328997002081167e+00,-2.742942379918851969e+01
1.800537109375000000e+00,3.076113913401278932e+00,-2.076585234958900728e+01
1.831054687500000000e+00,3.792186663828114757e+00,-1.864984243377620032e+01
1.861572265625000000e+00,4.107756447295260571e+00,-2.781453573123237533e+01
1.892089843750000000e+00,3.331917659893154138e+00,-2.746583072277402238e+01
1.922607421875000000e+00,2.649604061143928213e+00,-2.217877965089419590e+01
1.953125000000000000e+00,3.776298703206996343e+00,-2.421324399983624431e+01
1.983642578125000000e+00,4.305532953456859602e+00,-1.814491118025366490e+01
2.014160156250000000e+00,3.218609255569070626e+00,-1.738241739802899488e+01
2.044677734375000000e+00,2.743504444676641452e+00,-2.232220171329968750e+01
2.075195312500000000e+00,3.519036770818449344e+00,-1.774599891577049959e+01
2.105712890625000000e+00,2.779561074522298281e+00,-1.871980888558331202e+01
2.136230468750000000e+00,2.848072124175044628e+00,-1.763653944093467985e+01
2.166748046875000000e+00,4.132908700847361061e+00,-1.979555207504083114e+01
2.197265625000000000e+00,3.463207351062346007e+00,-2.455845306471325884e+01
2.227783203125000000e+00,3.235662833620896350e+00,-2.342606904865156636e+01
2.258300781250000000e+00,3.547326376198227216e+00,-2.681187912933772921e+01
2.288818359375000000e+00,2.774999232372738600e+00,-2.764489878109489496e+01
2.319335937500000000e+00,3.982300994139647443e+00,-2.012839421404640916e+01
2.349853515625000000e+00,4.123745119005504556e+00,-2.526833713969960726e+01
2.380371093750000000e+00,3.157860229454056977e+00,-3.683526030828681286e+01
2.410888671875000000e+00,3.255989259583882411e+00,-2.527559929860126786e+01
2.441406250000000000e+00,2.244706758941158675e+00,-1.967579459683966192e+01
